comune,data,n_abitanti
Acquacanina,2017-10-16,5037.714285714285
Acquacanina,2017-10-17,4833.142857142857
Acquacanina,2017-10-18,4758.571428571428
Acquacanina,2017-10-19,4920.0
Acquacanina,2017-10-20,5254.714285714285
Acquacanina,2017-10-21,5418.285714285715
Acquacanina,2017-10-22,5433.571428571428
Acquacanina,2017-10-23,5314.714285714285
Acquacanina,2017-10-24,5264.857142857143
Acquacanina,2017-10-25,5330.714285714285
Acquacanina,2017-10-26,5342.571428571428
Agugliano,2017-10-16,69354.28571428571
Agugliano,2017-10-17,72930.71428571429
Agugliano,2017-10-18,70200.57142857143
Agugliano,2017-10-19,71232.85714285714
Agugliano,2017-10-20,83568.85714285714
Agugliano,2017-10-21,81859.14285714286
Agugliano,2017-10-22,80096.42857142857
Agugliano,2017-10-23,84058.57142857143
Agugliano,2017-10-24,83411.42857142857
Agugliano,2017-10-25,83852.42857142857
Agugliano,2017-10-26,82487.14285714286
Altidona,2017-10-16,51787.57142857143
Altidona,2017-10-17,51463.57142857143
Altidona,2017-10-18,51256.857142857145
Altidona,2017-10-19,51486.57142857143
Altidona,2017-10-20,56465.42857142857
Altidona,2017-10-21,57410.42857142857
Altidona,2017-10-22,56764.42857142857
Altidona,2017-10-23,56671.71428571428
Altidona,2017-10-24,55614.0
Altidona,2017-10-25,55882.28571428572
Altidona,2017-10-26,55210.57142857143
Amandola,2017-10-16,26101.714285714286
Amandola,2017-10-17,25099.85714285714
Amandola,2017-10-18,25104.285714285714
Amandola,2017-10-19,25401.571428571428
Amandola,2017-10-20,28757.285714285714
Amandola,2017-10-21,28888.714285714286
Amandola,2017-10-22,29387.428571428572
Amandola,2017-10-23,29059.285714285714
Amandola,2017-10-24,28608.285714285714
Amandola,2017-10-25,29013.0
Amandola,2017-10-26,28672.14285714286
Ancona,2017-10-16,1754078.7142857143
Ancona,2017-10-17,1868808.7142857143
Ancona,2017-10-18,1858074.857142857
Ancona,2017-10-19,1871389.2857142857
Ancona,2017-10-20,2016487.857142857
Ancona,2017-10-21,1947521.2857142857
Ancona,2017-10-22,1898769.0
Ancona,2017-10-23,1937889.7142857143
Ancona,2017-10-24,2031219.4285714286
Ancona,2017-10-25,2044720.2857142857
Ancona,2017-10-26,2066764.142857143
Apiro,2017-10-16,44605.857142857145
Apiro,2017-10-17,43566.42857142857
Apiro,2017-10-18,42781.71428571428
Apiro,2017-10-19,43370.42857142857
Apiro,2017-10-20,47354.57142857143
Apiro,2017-10-21,47975.57142857143
Apiro,2017-10-22,47728.28571428572
Apiro,2017-10-23,41684.71428571428
Apiro,2017-10-24,46517.71428571428
Apiro,2017-10-25,47155.42857142857
Apiro,2017-10-26,47479.71428571428
Appignano,2017-10-16,90293.0
Appignano,2017-10-17,90102.28571428571
Appignano,2017-10-18,90688.14285714286
Appignano,2017-10-19,90088.71428571429
Appignano,2017-10-20,108801.71428571429
Appignano,2017-10-21,109230.28571428571
Appignano,2017-10-22,103992.42857142857
Appignano,2017-10-23,105821.85714285714
Appignano,2017-10-24,109935.42857142857
Appignano,2017-10-25,108137.85714285714
Appignano,2017-10-26,108485.57142857143
Arcevia,2017-10-16,12279.57142857143
Arcevia,2017-10-17,12319.857142857143
Arcevia,2017-10-18,12755.57142857143
Arcevia,2017-10-19,12556.714285714286
Arcevia,2017-10-20,13152.285714285714
Arcevia,2017-10-21,12959.0
Arcevia,2017-10-22,12520.285714285714
Arcevia,2017-10-23,12838.42857142857
Arcevia,2017-10-24,12836.0
Arcevia,2017-10-25,12921.142857142857
Arcevia,2017-10-26,12823.142857142857
Barbara,2017-10-16,23675.714285714286
Barbara,2017-10-17,23169.14285714286
Barbara,2017-10-18,23390.14285714286
Barbara,2017-10-19,23443.285714285714
Barbara,2017-10-20,24199.285714285714
Barbara,2017-10-21,24600.714285714286
Barbara,2017-10-22,23807.428571428572
Barbara,2017-10-23,24211.714285714286
Barbara,2017-10-24,23892.285714285714
Barbara,2017-10-25,24096.428571428572
Barbara,2017-10-26,23911.14285714286
Belforte del Chienti,2017-10-16,39901.142857142855
Belforte del Chienti,2017-10-17,39796.71428571428
Belforte del Chienti,2017-10-18,40206.42857142857
Belforte del Chienti,2017-10-19,39745.71428571428
Belforte del Chienti,2017-10-20,41512.71428571428
