from,to,qty
396-1035,396-1035,665
396-1035,396-1036,0
396-1035,396-1037,0
396-1035,396-1038,0
396-1035,396-1039,0
396-1035,396-1040,0
396-1035,397-1035,0
396-1035,397-1036,0
396-1035,397-1037,0
396-1035,397-1038,0
396-1035,397-1039,0
396-1035,397-1040,0
396-1035,398-1035,0
396-1035,398-1036,0
396-1035,398-1037,0
396-1035,398-1038,0
396-1035,398-1039,0
396-1035,398-1040,0
396-1035,399-1035,0
396-1035,399-1036,0
396-1035,399-1037,0
396-1035,399-1038,0
396-1035,399-1039,0
396-1035,399-1040,0
396-1035,400-1035,0
396-1035,400-1036,0
396-1035,400-1037,0
396-1035,400-1038,0
396-1035,400-1039,6
396-1035,400-1040,0
396-1036,396-1035,0
396-1036,396-1036,0
396-1036,396-1037,0
396-1036,396-1038,58
396-1036,396-1039,0
396-1036,396-1040,0
396-1036,397-1035,747
396-1036,397-1036,0
396-1036,397-1037,0
396-1036,397-1038,0
396-1036,397-1039,0
396-1036,397-1040,0
396-1036,398-1035,227
396-1036,398-1036,0
396-1036,398-1037,0
396-1036,398-1038,0
396-1036,398-1039,0
396-1036,398-1040,0
396-1036,399-1035,0
396-1036,399-1036,0
396-1036,399-1037,0
396-1036,399-1038,0
396-1036,399-1039,0
396-1036,399-1040,0
396-1036,400-1035,0
396-1036,400-1036,0
396-1036,400-1037,0
396-1036,400-1038,0
396-1036,400-1039,0
396-1036,400-1040,0
396-1037,396-1035,0
396-1037,396-1036,1023
396-1037,396-1037,0
396-1037,396-1038,0
396-1037,396-1039,0
396-1037,396-1040,0
396-1037,397-1035,41
396-1037,397-1036,0
396-1037,397-1037,0
396-1037,397-1038,0
396-1037,397-1039,0
396-1037,397-1040,0
396-1037,398-1035,0
396-1037,398-1036,0
396-1037,398-1037,0
396-1037,398-1038,0
396-1037,398-1039,0
396-1037,398-1040,0
396-1037,399-1035,0
396-1037,399-1036,0
396-1037,399-1037,0
396-1037,399-1038,0
396-1037,399-1039,0
396-1037,399-1040,0
396-1037,400-1035,0
396-1037,400-1036,0
396-1037,400-1037,0
396-1037,400-1038,0
396-1037,400-1039,0
396-1037,400-1040,0
396-1038,396-1035,0
396-1038,396-1036,0
396-1038,396-1037,594
396-1038,396-1038,0
396-1038,396-1039,0
396-1038,396-1040,0
396-1038,397-1035,0
396-1038,397-1036,0
396-1038,397-1037,0
396-1038,397-1038,0
396-1038,397-1039,0
396-1038,397-1040,0
396-1038,398-1035,369
396-1038,398-1036,0
396-1038,398-1037,0
396-1038,398-1038,0
396-1038,398-1039,0
396-1038,398-1040,0
396-1038,399-1035,0
396-1038,399-1036,0
396-1038,399-1037,0
396-1038,399-1038,0
396-1038,399-1039,0
396-1038,399-1040,0
396-1038,400-1035,0
396-1038,400-1036,0
396-1038,400-1037,0
396-1038,400-1038,0
396-1038,400-1039,0
396-1038,400-1040,0
396-1039,396-1035,0
396-1039,396-1036,0
396-1039,396-1037,0
396-1039,396-1038,0
396-1039,396-1039,0
396-1039,396-1040,0
396-1039,397-1035,0
396-1039,397-1036,839
396-1039,397-1037,0
396-1039,397-1038,0
396-1039,397-1039,0
396-1039,397-1040,0
396-1039,398-1035,0
396-1039,398-1036,0
396-1039,398-1037,0
396-1039,398-1038,0
396-1039,398-1039,0
396-1039,398-1040,0
396-1039,399-1035,0
396-1039,399-1036,0
396-1039,399-1037,0
396-1039,399-1038,0
396-1039,399-1039,0
396-1039,399-1040,0
396-1039,400-1035,0
396-1039,400-1036,0
396-1039,400-1037,0
396-1039,400-1038,0
396-1039,400-1039,0
396-1039,400-1040,0
396-1040,396-1035,0
396-1040,396-1036,0
396-1040,396-1037,464
396-1040,396-1038,0
396-1040,396-1039,0
396-1040,396-1040,0
396-1040,397-1035,0
396-1040,397-1036,198
396-1040,397-1037,0
396-1040,397-1038,0
396-1040,397-1039,0
396-1040,397-1040,0
396-1040,398-1035,0
396-1040,398-1036,0
396-1040,398-1037,0
396-1040,398-1038,0
396-1040,398-1039,0
396-1040,398-1040,0
396-1040,399-1035,0
396-1040,399-1036,0
396-1040,399-1037,0
396-1040,399-1038,0
396-1040,399-1039,0
396-1040,399-1040,0
396-1040,400-1035,0
396-1040,400-1036,0
396-1040,400-1037,0
396-1040,400-1038,0
396-1040,400-1039,0
396-1040,400-1040,0
397-1035,396-1035,0
397-1035,396-1036,0
397-1035,396-1037,0
397-1035,396-1038,0
397-1035,396-1039,0
397-1035,396-1040,406
397-1035,397-1035,0
397-1035,397-1036,0
397-1035,397-1037,0
397-1035,397-1038,0
397-1035,397-1039,0
397-1035,397-1040,0
397-1035,398-1035,0
397-1035,398-1036,386
397-1035,398-1037,0
397-1035,398-1038,0
397-1035,398-1039,0
397-1035,398-1040,0
397-1035,399-1035,0
397-1035,399-1036,0
397-1035,399-1037,0
397-1035,399-1038,0
397-1035,399-1039,0
397-1035,399-1040,0
397-1035,400-1035,0
397-1035,400-1036,0
397-1035,400-1037,0
397-1035,400-1038,0
397-1035,400-1039,0
397-1035,400-1040,0
397-1036,396-1035,0
397-1036,396-1036,0
397-1036,396-1037,0
397-1036,396-1038,20
397-1036,396-1039,0
397-1036,396-1040,0
397-1036,397-1035,0
397-1036,397-1036,0
397-1036,397-1037,0
397-1036,397-1038,0
397-1036,397-1039,0
397-1036,397-1040,0
397-1036,398-1035,0
397-1036,398-1036,384
397-1036,398-1037,0
397-1036,398-1038,0
397-1036,398-1039,0
397-1036,398-1040,0
397-1036,399-1035,640
397-1036,399-1036,0
397-1036,399-1037,0
397-1036,399-1038,0
397-1036,399-1039,0
397-1036,399-1040,0
397-1036,400-1035,0
397-1036,400-1036,0
397-1036,400-1037,0
397-1036,400-1038,0
397-1036,400-1039,0
397-1036,400-1040,0
397-1037,396-1035,0
397-1037,396-1036,0
397-1037,396-1037,0
397-1037,396-1038,0
397-1037,396-1039,0
397-1037,396-1040,0
397-1037,397-1035,0
397-1037,397-1036,0
397-1037,397-1037,847
397-1037,397-1038,0
397-1037,397-1039,0
397-1037,397-1040,0
397-1037,398-1035,0
397-1037,398-1036,0
397-1037,398-1037,0
397-1037,398-1038,0
397-1037,398-1039,0
397-1037,398-1040,0
397-1037,399-1035,0
397-1037,399-1036,0
397-1037,399-1037,0
397-1037,399-1038,0
397-1037,399-1039,0
397-1037,399-1040,0
397-1037,400-1035,0
397-1037,400-1036,0
397-1037,400-1037,0
397-1037,400-1038,0
397-1037,400-1039,5
397-1037,400-1040,0
397-1038,396-1035,0
397-1038,396-1036,0
397-1038,396-1037,0
397-1038,396-1038,886
397-1038,396-1039,0
397-1038,396-1040,0
397-1038,397-1035,0
397-1038,397-1036,0
397-1038,397-1037,0
397-1038,397-1038,0
397-1038,397-1039,0
397-1038,397-1040,0
397-1038,398-1035,0
397-1038,398-1036,0
397-1038,398-1037,0
397-1038,398-1038,0
397-1038,398-1039,0
397-1038,398-1040,0
397-1038,399-1035,0
397-1038,399-1036,0
397-1038,399-1037,0
397-1038,399-1038,0
397-1038,399-1039,0
397-1038,399-1040,0
397-1038,400-1035,73
397-1038,400-1036,0
397-1038,400-1037,0
397-1038,400-1038,0
397-1038,400-1039,0
397-1038,400-1040,0
397-1039,396-1035,0
397-1039,396-1036,0
397-1039,396-1037,0
397-1039,396-1038,0
397-1039,396-1039,0
397-1039,396-1040,0
397-1039,397-1035,0
397-1039,397-1036,0
397-1039,397-1037,0
397-1039,397-1038,0
397-1039,397-1039,0
397-1039,397-1040,0
397-1039,398-1035,0
397-1039,398-1036,0
397-1039,398-1037,432
397-1039,398-1038,0
397-1039,398-1039,0
397-1039,398-1040,0
397-1039,399-1035,0
397-1039,399-1036,214
397-1039,399-1037,0
397-1039,399-1038,0
397-1039,399-1039,0
397-1039,399-1040,0
397-1039,400-1035,331
397-1039,400-1036,0
397-1039,400-1037,0
397-1039,400-1038,0
397-1039,400-1039,0
397-1039,400-1040,0
397-1040,396-1035,0
397-1040,396-1036,0
397-1040,396-1037,0
397-1040,396-1038,0
397-1040,396-1039,0
397-1040,396-1040,0
397-1040,397-1035,0
397-1040,397-1036,0
397-1040,397-1037,0
397-1040,397-1038,0
397-1040,397-1039,0
397-1040,397-1040,0
397-1040,398-1035,0
397-1040,398-1036,0
397-1040,398-1037,0
397-1040,398-1038,0
397-1040,398-1039,0
397-1040,398-1040,0
397-1040,399-1035,0
397-1040,399-1036,490
397-1040,399-1037,0
397-1040,399-1038,0
397-1040,399-1039,0
397-1040,399-1040,0
397-1040,400-1035,0
397-1040,400-1036,0
397-1040,400-1037,0
397-1040,400-1038,0
397-1040,400-1039,0
397-1040,400-1040,0
398-1035,396-1035,0
398-1035,396-1036,0
398-1035,396-1037,0
398-1035,396-1038,0
398-1035,396-1039,225
398-1035,396-1040,0
398-1035,397-1035,0
398-1035,397-1036,0
398-1035,397-1037,0
398-1035,397-1038,0
398-1035,397-1039,0
398-1035,397-1040,0
398-1035,398-1035,0
398-1035,398-1036,0
398-1035,398-1037,369
398-1035,398-1038,0
398-1035,398-1039,0
398-1035,398-1040,0
398-1035,399-1035,0
398-1035,399-1036,0
398-1035,399-1037,0
398-1035,399-1038,0
398-1035,399-1039,0
398-1035,399-1040,0
398-1035,400-1035,0
398-1035,400-1036,0
398-1035,400-1037,0
398-1035,400-1038,0
398-1035,400-1039,0
398-1035,400-1040,0
398-1036,396-1035,0
398-1036,396-1036,0
398-1036,396-1037,0
398-1036,396-1038,0
398-1036,396-1039,618
398-1036,396-1040,0
398-1036,397-1035,0
398-1036,397-1036,0
398-1036,397-1037,0
398-1036,397-1038,149
398-1036,397-1039,0
398-1036,397-1040,0
398-1036,398-1035,0
398-1036,398-1036,0
398-1036,398-1037,0
398-1036,398-1038,0
398-1036,398-1039,0
398-1036,398-1040,0
398-1036,399-1035,0
398-1036,399-1036,0
398-1036,399-1037,0
398-1036,399-1038,0
398-1036,399-1039,0
398-1036,399-1040,0
398-1036,400-1035,0
398-1036,400-1036,0
398-1036,400-1037,0
398-1036,400-1038,0
398-1036,400-1039,0
398-1036,400-1040,0
398-1037,396-1035,0
398-1037,396-1036,0
398-1037,396-1037,0
398-1037,396-1038,0
398-1037,396-1039,0
398-1037,396-1040,0
398-1037,397-1035,0
398-1037,397-1036,0
398-1037,397-1037,0
398-1037,397-1038,800
398-1037,397-1039,0
398-1037,397-1040,0
398-1037,398-1035,0
398-1037,398-1036,0
398-1037,398-1037,0
398-1037,398-1038,0
398-1037,398-1039,0
398-1037,398-1040,0
398-1037,399-1035,0
398-1037,399-1036,0
398-1037,399-1037,0
398-1037,399-1038,0
398-1037,399-1039,0
398-1037,399-1040,0
398-1037,400-1035,0
398-1037,400-1036,0
398-1037,400-1037,0
398-1037,400-1038,0
398-1037,400-1039,0
398-1037,400-1040,0
398-1038,396-1035,0
398-1038,396-1036,0
398-1038,396-1037,0
398-1038,396-1038,0
398-1038,396-1039,0
398-1038,396-1040,0
398-1038,397-1035,0
398-1038,397-1036,0
398-1038,397-1037,0
398-1038,397-1038,0
398-1038,397-1039,0
398-1038,397-1040,0
398-1038,398-1035,0
398-1038,398-1036,0
398-1038,398-1037,0
398-1038,398-1038,0
398-1038,398-1039,0
398-1038,398-1040,0
398-1038,399-1035,0
398-1038,399-1036,0
398-1038,399-1037,427
398-1038,399-1038,0
398-1038,399-1039,0
398-1038,399-1040,0
