"COMUNE_DENOM","COSTO_INTERVENTO","CONTRIBUTO"
"Argelato",4162985,2317977
"Argenta",892002,887001
"Bagnolo In Piano",75460,75103
"Baricella",3145769,2555091
"Bastiglia",10141462,8379171
"Bentivoglio",844618,611956
"Bologna",58281,58281
"Bomporto",17890483,16258182
"Bondeno",116517291.85,106919432.89
"Boretto",1321292,1179790
"Budrio",860647,508090
"Calderara Di Reno",1621396,1264353
"Campagnola Emilia",5780918,4472167.4
"Campogalliano",2371149,2230778
"Camposanto",62783021,56794951
"Carpi",145048187.38,126120290.38
"Castel Maggiore",928639,557493
"Castelfranco Emilia",1100092,1054766
"Castello D'Argile",2810588,2518541
"Castelnovo Di Sotto",105437,103986
"Cavezzo",156101256.3,138632958.56
"Cento",90978182,79119700
"Concordia Sulla Secchia",144847530.29,127992285.38
"Copparo",94128,58849
"Correggio",6962755,6022897
"Crevalcore",165927276.95,151524082.01
"Fabbrico",8547342,7587897
"Ferrara",62384266,52607934
"Finale Emilia",239835179.94,220939648.28
"Galliera",19381229,16856810
"Gualtieri",80038,41504
"Guastalla",9706482,7141940
"Luzzara",12483328.22,11431368.25
"Malalbergo",7020051,6165571
"Medolla",130567044,116638120
"Minerbio",3273561,2675993
"Mirandola",493593608.97,438054228.94
"Modena",7461158,6851950.41
"Molinella",582009,480743
"Nonantola",6918528,5344380
"Novellara",2031399,2006741
"Novi Di Modena",232109356,210320633
"Pieve Di Cento",19713217,17063828
"Poggio Renatico",21900736,20603756
"Quattro Castella",343663,272202
"Ravarino",27870660,21990873
"Reggio Nell'Emilia",4397737.75,4034873.74
"Reggiolo",116879540.6,108061284.17
"Rio Saliceto",9968573,8176664
"Rolo",15879136,14263302
"Sala Bolognese",4012106,3412532
"San Cesario Sul Panaro",848608,759504
"San Felice Sul Panaro",206161707.97,187420185.18
"San Giorgio Di Piano",895790,522774
"San Giovanni In Persiceto",22851952,19053373
"San Martino In Rio",592994,453902
"San Pietro In Casale",8951983,7907542
"San Possidonio",83033423,78094494
"San Prospero",75821613,67513495
"Sant'Agata Bolognese",723014,688483
"Soliera",27527647,22928213
"Mirabello",51324352,41201384
"Sant'Agostino",92480209,82307406
"Vigarano Mainarda",38367637,34743993.64
