"SP_ID","assoc_comuni"
"1 1","Matelica"
"4 1","Matelica"
"8 1","Matelica"
"13 1","Matelica"
"14 1","Matelica"
"16 1","Matelica"
"20 1","Matelica"
"22 1","Fabriano"
"25 1","Matelica"
"26 1","Matelica"
"36 1","Gagliole"
"39 1","Camerino"
"41 1","Camerino"
"42 1","Camerino"
"45 1","Camerino"
"55 1","Fabriano"
"58 1","Cerreto d'Esi"
"59 1","Matelica"
"60 1","Camerino"
"61 1","Camerino"
"62 1","Matelica"
"69 1","Matelica"
"70 1","Camerino"
"72 1","Camerino"
"73 1","Pioraco"
"81 1","Muccia"
"83 1","Serravalle di Chienti"
"86 1","Camerino"
"89 1","Monte Cavallo"
"90 1","Monte Cavallo"
"95 1","Matelica"
"96 1","Matelica"
"102 1","Camerino"
"103 1","Castelraimondo"
"106 1","Camerino"
"107 1","Castelraimondo"
"109 1","Castelraimondo"
"111 1","Muccia"
"112 1","Muccia"
"114 1","Pieve Torina"
"115 1","Pieve Torina"
"116 1","Pieve Torina"
"124 1","Camerino"
"125 1","Camerino"
"136 1","Serravalle di Chienti"
"138 1","Camerino"
"139 1","Monte Cavallo"
"140 1","Apiro"
"141 1","Matelica"
"143 1","Monte Cavallo"
"148 1","Muccia"
"150 1","Muccia"
"153 1","Camerino"
"161 1","Monte Cavallo"
"163 1","Matelica"
"167 1","Muccia"
"174 1","Camerino"
"177 1","Matelica"
"185 1","Osimo"
"187 1","Osimo"
"188 1","Cingoli"
"189 1","Treia"
"192 1","Chiaravalle"
"193 1","Treia"
"194 1","Santa Vittoria in Matenano"
"195 1","Poggio San Vicino"
"196 1","Filottrano"
"200 1","Ostra Vetere"
"201 1","Treia"
"202 1","Ostra Vetere"
"204 1","Montemarciano"
"205 1","Senigallia"
"206 1","Apiro"
"207 1","Camporotondo di Fiastrone"
"208 1","Tolentino"
"209 1","Servigliano"
"210 1","Treia"
"211 1","Cingoli"
"212 1","Corridonia"
"213 1","Massa Fermana"
"214 1","Tolentino"
"215 1","Civitanova Marche"
"216 1","Fiordimonte"
"217 1","Pieve Torina"
"218 1","Monte San Vito"
"219 1","Mogliano"
"220 1","Cingoli"
"221 1","Cingoli"
"222 1","Sant'Elpidio a Mare"
"223 1","Colmurano"
"226 1","Matelica"
"227 1","Fabriano"
"229 1","Castelraimondo"
"230 1","Pioraco"
"233 1","Camerino"
"234 1","Camerino"
"243 1","Matelica"
"245 1","Matelica"
"247 1","Pioraco"
"248 1","Matelica"
"249 1","Matelica"
"250 1","Matelica"
"269 1","Cerreto d'Esi"
"273 1","Cerreto d'Esi"
"281 1","Matelica"
"282 1","Pioraco"
"283 1","Matelica"
"286 1","Matelica"
"289 1","Camerano"
"290 1","Loreto"
"291 1","Loreto"
