Comune,Cratere Centro Italia 2016,Variaz
Abbateggio,0,-14.463096845388526
Acciano,0,-14.871586116777296
Accumoli,1,-50.16438518109532
Acquacanina,1,-34.79672555953368
Acqualagna,0,-9.51481030465117
Acquapendente,0,0.907304831866745
Acquasanta Terme,1,-20.57999062358616
Acquasparta,0,-2.083872370210554
Acquaviva Picena,0,6.301957873698223
Agugliano,0,13.572743375301194
Alanno,0,1.969178210092833
Alba Adriatica,0,-12.922289744553229
Allerona,0,-2.9897338373176425
Allumiere,0,0.8708811073490178
Altidona,0,-1.4810969064929427
Alviano,0,-4.842707323476504
Amandola,1,-16.145167255089472
Amatrice,1,-33.68508737060501
Amelia,0,0.2978835452073617
Ancarano,0,0.3397722476153324
Ancona,0,3.356372754548226
Anghiari,0,-2.2868052113461457
Antrodoco,1,2.9156675272790604
Apecchio,0,-7.175973370469582
Apiro,1,-17.092140750298995
Appignano,0,19.402054612312437
Appignano del Tronto,1,-9.717832842610468
Arcevia,0,-10.029301485665771
Arezzo,0,-7.0146354412985295
Ari,0,-5.074913994951223
Arielli,0,-6.0113338339571865
Arlena di Castro,0,4.881760570136548
Arquata del Tronto,1,-46.61731643010449
Arrone,1,6.761855025423763
Arsita,0,-12.604837237379254
Ascoli Piceno,1,-1.401044759392251
Ascrea,0,-21.07662934420279
Assisi,0,2.7601987344654866
Atri,0,5.017346448931945
Attigliano,0,34.03760773197384
Avigliano Umbro,0,-0.5448795460894347
Badia Tedalda,0,9.125390146164579
Bagnoregio,0,0.2526231460030534
Barbara,0,-0.4937667335976648
Barbarano Romano,0,-4.49367106288295
Barchi,0,-12.162380643411225
Barete,0,-11.998734976986428
Barisciano,0,-3.0836691535091516
Baschi,0,16.47833021897084
Basciano,0,-1.2212649015891606
Bassano Romano,0,14.074622764839553
Bassano in Teverina,0,8.35420847969261
Bastia Umbra,0,2.5081582520045593
Belforte all'Isauro,0,-0.7513917655308601
Belforte del Chienti,1,-6.873327735800534
Bellante,0,0.6559762611009029
Belmonte Piceno,1,-2.532186433487486
